link,title,price,transaction,city,region,description,surface,bathrooms,rooms
https://www.tayara.tn/item/appartements/tunis/jardins-de-carthage/a-louer-s2-aux-jardins-de-carthage/694ea7d5cd04d08be7517879/,A Louer S+2 aux Jardins de Carthage,2100,Location,Tunis,Jardins De Carthage,"L’agence immobilière Good Life vous propose à la location un appartement S+2 vide situé aux Jardins de Carthage. Il se compose de:

- Salon lumineux avec balcon

- Salle d’eau pour les invités

- Cuisine bien équipée avec séchoir

- Chambre à coucher avec dressing

- Suite parentale avec dressing et balcon

- Salle de bain commune

*Climatisation split

*Chauffage central

*Place de parking au sous-sol

Loyer : 2100 DT, syndic inclus

Pour une visite ou plus d'informations contacter votre courtier en immobilier Hamdi Achour par téléphone ou WhatsApp au 29924039.",120,2,2
https://www.tayara.tn/item/appartements/siliana/siliana-nord/studio-a-loyer/694ea7448914daae51a1ebd5/,studio a loyer,0,Location,Siliana,Siliana Nord,studio à louer meublé ,2,1,2
https://www.tayara.tn/item/appartements/sousse/sousse-jawhara/appartement-s2-cit-olympique/694ea6f08914daae51a1eba6/,Appartement S+2 à cité olympique,850,Location,Sousse,Sousse Jawhara,"✅Appartement (S+2) sans meubles pour location à Cité olympique (en face stade route Sahloul4)
✅Petite Résidence familiale avec ascenseurs, gardée et sécurisée.
✅Au deuxième étage
✅Chauffage centrale et climatiseur
✅Proche de toutes les commodités

✅Dans un quartier calme et résidentiel à cité olympique sousse.

⏰ Appelez nous pour le visiter gratuitement:  53 405 662
",90,1,2
https://www.tayara.tn/item/appartements/ariana/la-soukra/-vendre-appartement-s3-la-soukra/694ea6ab8914daae51a1eb7f/,À vendre – Appartement S+3 à La Soukra,500000,Vente,Ariana,La Soukra,"L’agence immobilière Century 21 vous propose à la vente un appartement S+3 situé à La Soukra.

Il se compose de :

Un salon avec une grande terrasse

Une suite parentale

Deux chambres à coucher

Une cuisine équipée

Une salle d’eau

Pour plus d’informations, veuillez nous contacter au :
+216 23 221 222  / +216 98 276 463",144,2,3
https://www.tayara.tn/item/appartements/tunis/l-aouina/studio-meubl-laouina/694ea695cd04d08be75177c8/,studio meublé à laouina ,90,Location,Tunis,L Aouina,ün joli studio richement meublé a laouina par nuitée ,56,1,2
https://www.tayara.tn/item/locations-de-vacances/bizerte/ras-jebel/a-louer-villa-avec-piscine-ras-jebel-rf-5642/694ab0598914daae51a045b5/,A Louer villa avec piscine à Ras Jebel- Réf 5642,1,Location,Bizerte,Ras Jebel,"✨À Louer | Villa Meublée avec Piscine à 300m de la Mer ✨
 Plage Hassan, Ras Jebel
 située à seulement 300 mètres de la plage Hassan, à Ras Jebel.
 Un cadre idyllique entre confort, calme et proximité de la mer. 
📌Composition : 
*Un salon chaleureux et bien aménagé 2 chambres à coucher confortables *Cuisine équipée avec électroménager complet *Salle de bain *Grand jardin arboré** idéal pour se détendre * **Piscine privée– 
 📌Emplacement** : à 3 minutes à pied de la plage, dans un quartier calme et sécurisé. 
Pour plus d'informations ou pour réserver votre séjour, contactez-nous dès maintenant.
EDF Immobilière ",400,1,2
https://www.tayara.tn/item/appartements/tunis/ain-zaghouan-nord/a-louer-un-tage-de-villa-s3-ain-zaghouan-nord/691d9d25145e1617cba86617/,A louer un étage de villa s+3 à Ain Zaghouan Nord,1800,Location,Tunis,Ain Zaghouan Nord,"Agence immobilière le Carré 9 vous propose à la location un étage de villa s+3 avec une entrée indépendante et un abri de voiture situé à Ain Zaghouan Nord dans quartier résidentiel.

L'étage se compose comme suit:

-Un salon avec balcon 
-Une cuisine équipée 
-Trois chambres à coucher 
-Une salle de bain 

Chauffage centrale et climatisation en split sont à la dispositions .

Pour plus d’informations veuillez nous contacter au 22300078 ou bien 23219610.",130,1,3
https://www.tayara.tn/item/appartements/tunis/tunis/a-louer-s1-meubl-aux-berges-du-lac-2/68f8dedcd0d95991e1028f4b/,A louer S1 meublé aux Berges du Lac 2,1800,Location,Tunis,Tunis,"Agence immobilière le Carré 9 vous propose à la location un appartement S1 richement meublé situé au 2ème étage d’une résidence gardée et sécurisée aux Berges du Lac 2.

L’appartement se compose d’un salon et salle à manger, une cuisine équipée avec un séchoir, une chambre à coucher avec dressing et salle de douche.

Il est doté du chauffage centra et de climatisation en split.
Pour plus d'informations veuillez nous contacter 28177388 ou bien 23219610.
Ref258a",65,1,1
https://www.tayara.tn/item/appartements/tunis/tunis/a-louer-un-s1-neuf-aux-jardins-de-carthage/6904a2566490817594e06001/,A louer un S1 neuf aux Jardins de Carthage,1700,Location,Tunis,Tunis,"Agence immobilière le Carré 9 vous propose à la location un appartement S1 jamais habité situé au 1er étage d’une résidence récemment construite aux plein cœur de Jardins de Carthage.

L’appartement se compose d’un salon avec un balcon, une cuisine américaine bien équipée, une salle de douche et une chambre à coucher avec dressing et un balcon.

Il est équipé du chauffage central, de la climatisation en split et d’une place de parking au sous-sol.
Pour votre divertissement la résidence vous offre une salle de sport et une piscine.
Ref404a",80,1,1
https://www.tayara.tn/item/bureaux-et-plateaux/tunis/ain-zaghouan-sud/bureau-2-pices-louer-ain-zaghouan-sud/6936b0088914daae5197d060/,Bureau 2 pièces à louer à Ain Zaghouan Sud,1000,Location,Tunis,Ain Zaghouan Sud,"L’agence immobilière Le Carré 9 vous propose à la location un bureau situé au 2ᵉ étage d’un immeuble à usage bureautique, implanté sur un axe principal à Ain Zaghouan Sud.

Le bureau se compose de deux pièces :

Une salle d’attente ou d’accueil,

Un espace bureau.

Il dispose également d’une kitchenette et d’une salle d’eau.

Pour plus d’informations, veuillez nous contacter au 22 300 078 ou 23 219 610.",60,1,2
